epoch,mode,loss,acc,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,3.0806832313537598,0.09720000624656677,31,100,200,20,200,1,1,lstm,gs,50,42,42
1,test,2.6310031414031982,0.13500000536441803,31,100,200,20,200,1,1,lstm,gs,50,42,42
2,train,2.378999710083008,0.15940000116825104,31,100,200,20,200,1,1,lstm,gs,50,42,42
2,test,2.3087875843048096,0.15000000596046448,31,100,200,20,200,1,1,lstm,gs,50,42,42
3,train,2.1243441104888916,0.20059999823570251,31,100,200,20,200,1,1,lstm,gs,50,42,42
3,test,2.040142297744751,0.22699999809265137,31,100,200,20,200,1,1,lstm,gs,50,42,42
4,train,1.8930227756500244,0.2661999762058258,31,100,200,20,200,1,1,lstm,gs,50,42,42
4,test,1.8013763427734375,0.2959999740123749,31,100,200,20,200,1,1,lstm,gs,50,42,42
5,train,1.6864112615585327,0.33180001378059387,31,100,200,20,200,1,1,lstm,gs,50,42,42
5,test,1.5958950519561768,0.3580000102519989,31,100,200,20,200,1,1,lstm,gs,50,42,42
6,train,1.5113458633422852,0.37620002031326294,31,100,200,20,200,1,1,lstm,gs,50,42,42
6,test,1.4234485626220703,0.3790000081062317,31,100,200,20,200,1,1,lstm,gs,50,42,42
7,train,1.3883334398269653,0.3960000276565552,31,100,200,20,200,1,1,lstm,gs,50,42,42
7,test,1.3935649394989014,0.382999986410141,31,100,200,20,200,1,1,lstm,gs,50,42,42
8,train,1.2976255416870117,0.4138000011444092,31,100,200,20,200,1,1,lstm,gs,50,42,42
8,test,1.1998226642608643,0.4039999842643738,31,100,200,20,200,1,1,lstm,gs,50,42,42
9,train,1.1888340711593628,0.44940003752708435,31,100,200,20,200,1,1,lstm,gs,50,42,42
9,test,1.1376837491989136,0.4280000329017639,31,100,200,20,200,1,1,lstm,gs,50,42,42
10,train,1.131608247756958,0.4376000165939331,31,100,200,20,200,1,1,lstm,gs,50,42,42
10,test,1.12858247756958,0.4150000214576721,31,100,200,20,200,1,1,lstm,gs,50,42,42
11,train,1.123537540435791,0.44979995489120483,31,100,200,20,200,1,1,lstm,gs,50,42,42
11,test,1.0720298290252686,0.4180000424385071,31,100,200,20,200,1,1,lstm,gs,50,42,42
12,train,1.0629863739013672,0.45739996433258057,31,100,200,20,200,1,1,lstm,gs,50,42,42
12,test,1.0383659601211548,0.44099998474121094,31,100,200,20,200,1,1,lstm,gs,50,42,42
13,train,1.0446785688400269,0.47140002250671387,31,100,200,20,200,1,1,lstm,gs,50,42,42
13,test,1.0393928289413452,0.45399993658065796,31,100,200,20,200,1,1,lstm,gs,50,42,42
14,train,1.0044611692428589,0.48840001225471497,31,100,200,20,200,1,1,lstm,gs,50,42,42
14,test,1.002767562866211,0.4829999804496765,31,100,200,20,200,1,1,lstm,gs,50,42,42
15,train,0.970960259437561,0.49699997901916504,31,100,200,20,200,1,1,lstm,gs,50,42,42
15,test,0.9909771084785461,0.484000027179718,31,100,200,20,200,1,1,lstm,gs,50,42,42
16,train,0.9375957250595093,0.5108000040054321,31,100,200,20,200,1,1,lstm,gs,50,42,42
16,test,0.926250159740448,0.4869999885559082,31,100,200,20,200,1,1,lstm,gs,50,42,42
17,train,0.9271481037139893,0.5163999795913696,31,100,200,20,200,1,1,lstm,gs,50,42,42
17,test,0.9107179641723633,0.49900001287460327,31,100,200,20,200,1,1,lstm,gs,50,42,42
18,train,0.9402132630348206,0.5130000114440918,31,100,200,20,200,1,1,lstm,gs,50,42,42
18,test,0.9065009355545044,0.5110000371932983,31,100,200,20,200,1,1,lstm,gs,50,42,42
19,train,0.8987435102462769,0.5226000547409058,31,100,200,20,200,1,1,lstm,gs,50,42,42
19,test,0.9160109758377075,0.5180000066757202,31,100,200,20,200,1,1,lstm,gs,50,42,42
20,train,0.8835024237632751,0.5257999897003174,31,100,200,20,200,1,1,lstm,gs,50,42,42
20,test,0.8563342094421387,0.5110000371932983,31,100,200,20,200,1,1,lstm,gs,50,42,42
