epoch,mode,loss,acc,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,2.013718843460083,0.23279999196529388,31,100,200,20,200,1,1,lstm,vq,50,42,42
1,test,1.6661036014556885,0.23199999332427979,31,100,200,20,200,1,1,lstm,vq,50,42,42
2,train,1.4860397577285767,0.2295999675989151,31,100,200,20,200,1,1,lstm,vq,50,42,42
2,test,1.6641632318496704,0.25300002098083496,31,100,200,20,200,1,1,lstm,vq,50,42,42
3,train,1.5135432481765747,0.24319997429847717,31,100,200,20,200,1,1,lstm,vq,50,42,42
3,test,1.6601231098175049,0.25999999046325684,31,100,200,20,200,1,1,lstm,vq,50,42,42
4,train,1.5532326698303223,0.24180001020431519,31,100,200,20,200,1,1,lstm,vq,50,42,42
4,test,1.7177526950836182,0.22499999403953552,31,100,200,20,200,1,1,lstm,vq,50,42,42
5,train,1.5362869501113892,0.2290000170469284,31,100,200,20,200,1,1,lstm,vq,50,42,42
5,test,1.6409944295883179,0.24500000476837158,31,100,200,20,200,1,1,lstm,vq,50,42,42
6,train,1.5165414810180664,0.24420000612735748,31,100,200,20,200,1,1,lstm,vq,50,42,42
6,test,1.7038705348968506,0.25099998712539673,31,100,200,20,200,1,1,lstm,vq,50,42,42
7,train,1.5161957740783691,0.25779998302459717,31,100,200,20,200,1,1,lstm,vq,50,42,42
7,test,1.7278493642807007,0.257999986410141,31,100,200,20,200,1,1,lstm,vq,50,42,42
8,train,1.6008005142211914,0.24340000748634338,31,100,200,20,200,1,1,lstm,vq,50,42,42
8,test,1.7414953708648682,0.2370000183582306,31,100,200,20,200,1,1,lstm,vq,50,42,42
9,train,1.5502161979675293,0.2362000048160553,31,100,200,20,200,1,1,lstm,vq,50,42,42
9,test,1.6584993600845337,0.2529999911785126,31,100,200,20,200,1,1,lstm,vq,50,42,42
10,train,1.5139515399932861,0.24479997158050537,31,100,200,20,200,1,1,lstm,vq,50,42,42
10,test,1.6511218547821045,0.2250000238418579,31,100,200,20,200,1,1,lstm,vq,50,42,42
11,train,1.454389214515686,0.2556000053882599,31,100,200,20,200,1,1,lstm,vq,50,42,42
11,test,1.5787978172302246,0.25200000405311584,31,100,200,20,200,1,1,lstm,vq,50,42,42
12,train,1.4254764318466187,0.24800001084804535,31,100,200,20,200,1,1,lstm,vq,50,42,42
12,test,1.6045455932617188,0.2719999849796295,31,100,200,20,200,1,1,lstm,vq,50,42,42
13,train,1.4453614950180054,0.25619998574256897,31,100,200,20,200,1,1,lstm,vq,50,42,42
13,test,1.6114275455474854,0.27699998021125793,31,100,200,20,200,1,1,lstm,vq,50,42,42
14,train,1.4068603515625,0.2606000006198883,31,100,200,20,200,1,1,lstm,vq,50,42,42
14,test,1.5722979307174683,0.26600000262260437,31,100,200,20,200,1,1,lstm,vq,50,42,42
15,train,1.404098391532898,0.2678000032901764,31,100,200,20,200,1,1,lstm,vq,50,42,42
15,test,1.5113530158996582,0.2839999794960022,31,100,200,20,200,1,1,lstm,vq,50,42,42
16,train,1.4390696287155151,0.2549999952316284,31,100,200,20,200,1,1,lstm,vq,50,42,42
16,test,1.5124294757843018,0.3110000193119049,31,100,200,20,200,1,1,lstm,vq,50,42,42
17,train,1.3888745307922363,0.26579999923706055,31,100,200,20,200,1,1,lstm,vq,50,42,42
17,test,1.5912137031555176,0.26200002431869507,31,100,200,20,200,1,1,lstm,vq,50,42,42
18,train,1.4569871425628662,0.25859999656677246,31,100,200,20,200,1,1,lstm,vq,50,42,42
18,test,1.6174485683441162,0.26600000262260437,31,100,200,20,200,1,1,lstm,vq,50,42,42
19,train,1.4175753593444824,0.2691999673843384,31,100,200,20,200,1,1,lstm,vq,50,42,42
19,test,1.5531302690505981,0.28700000047683716,31,100,200,20,200,1,1,lstm,vq,50,42,42
20,train,1.4182357788085938,0.25839999318122864,31,100,200,20,200,1,1,lstm,vq,50,42,42
20,test,1.560318112373352,0.28999999165534973,31,100,200,20,200,1,1,lstm,vq,50,42,42
