mode,epoch,acc,loss,length,complexity,information_loss,kl_accuracy,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed
train,20,0.8858001232147217,0.16677820682525635,2.9999845027923584,1.9433640509818673,0.04193561038948821,0.5803925586782798,1,8,20,100,10,4,2,gru,gs,25,42
test,20,0.8790001273155212,0.1787434071302414,3.0,1.91372046712656,0.040130812847757026,0.559885241309043,1,8,20,100,10,4,2,gru,gs,25,42
train,21,0.8895995020866394,0.17063644528388977,2.999988317489624,1.9465668710494892,0.04515439529316547,0.6258191135115123,1,8,20,100,10,4,2,gru,gs,25,42
test,21,0.8939999938011169,0.16107815504074097,3.0,1.91372046712656,0.03609093719416186,0.5160869918106946,1,8,20,100,10,4,2,gru,gs,25,42
train,22,0.8903998732566833,0.1673995852470398,2.9999871253967285,1.9451193824027018,0.043325528335293774,0.5967192666561993,1,8,20,100,10,4,2,gru,gs,25,42
test,22,0.8990000486373901,0.16460315883159637,3.0,1.91372046712656,0.044417201287603396,0.6027863639576174,1,8,20,100,10,4,2,gru,gs,25,42
train,23,0.8919994831085205,0.16226619482040405,2.999985933303833,1.9452831836950164,0.04314162825746764,0.5924979167640476,1,8,20,100,10,4,2,gru,gs,25,42
test,23,0.8980000615119934,0.17922355234622955,3.0,1.91372046712656,0.04951171618969673,0.6911303694408039,1,8,20,100,10,4,2,gru,gs,25,42
train,24,0.8862043023109436,0.17262528836727142,2.999964952468872,1.9442322310337758,0.043468826823726124,0.6097234513679841,1,8,20,100,10,4,2,gru,gs,25,42
test,24,0.8860000371932983,0.1609921157360077,3.0,1.91372046712656,0.03232646304067188,0.44968640354416056,1,8,20,100,10,4,2,gru,gs,25,42
train,25,0.8891994953155518,0.17048119008541107,2.9999747276306152,1.9451208568160585,0.04056167593553509,0.5672176756793947,1,8,20,100,10,4,2,gru,gs,25,42
test,25,0.8939999938011169,0.15428803861141205,3.0,1.91372046712656,0.03543381962894029,0.5050438763213645,1,8,20,100,10,4,2,gru,gs,25,42
train,26,0.8879997134208679,0.16929222643375397,2.999986410140991,1.9418309844595045,0.038620648038965866,0.5313002472716446,1,8,20,100,10,4,2,gru,gs,25,42
test,26,0.8700000643730164,0.18710245192050934,3.0,1.91372046712656,0.04833197390664359,0.6431626350212487,1,8,20,100,10,4,2,gru,gs,25,42
train,27,0.8885995149612427,0.17139868438243866,2.9999899864196777,1.940635070615799,0.04924169432993414,0.6607956566998703,1,8,20,100,10,4,2,gru,gs,25,42
test,27,0.902999997138977,0.15319228172302246,3.0,1.91372046712656,0.03913601658099205,0.5291012499612311,1,8,20,100,10,4,2,gru,gs,25,42
train,28,0.8883998990058899,0.16391459107398987,2.999985694885254,1.9456761099654278,0.045344854709024794,0.6176428636826418,1,8,20,100,10,4,2,gru,gs,25,42
test,28,0.8760000467300415,0.18049301207065582,3.0,1.91372046712656,0.048189397125445683,0.6561183074536739,1,8,20,100,10,4,2,gru,gs,25,42
train,29,0.8897995352745056,0.17143693566322327,2.999988555908203,1.9353450087550228,0.04443982712146199,0.6026164221440028,1,8,20,100,10,4,2,gru,gs,25,42
test,29,0.8080001473426819,0.6142745018005371,3.0,1.793311848455835,0.5695032714315856,2.7822999958603956,1,8,20,100,10,4,2,gru,gs,25,42
train,30,0.8862001895904541,0.19632282853126526,2.9999914169311523,1.8672616434783271,0.06475698702741255,0.825059459567783,1,8,20,100,10,4,2,gru,gs,25,42
test,30,0.8899999856948853,0.17539919912815094,3.0,1.91372046712656,0.03999472245908554,0.5649742996566907,1,8,20,100,10,4,2,gru,gs,25,42
train,31,0.882800281047821,0.17474599182605743,2.9999921321868896,1.941613528233102,0.04596662043073081,0.6334360566902516,1,8,20,100,10,4,2,gru,gs,25,42
test,31,0.9089999794960022,0.16104605793952942,3.0,1.91372046712656,0.03579516092582187,0.4861973712057199,1,8,20,100,10,4,2,gru,gs,25,42
train,32,0.8832004070281982,0.1733016073703766,2.9999895095825195,1.9412701446185618,0.04048629408659565,0.5522522849280858,1,8,20,100,10,4,2,gru,gs,25,42
test,32,0.893000066280365,0.17357021570205688,3.0,1.91372046712656,0.038245990342657625,0.5312051391642917,1,8,20,100,10,4,2,gru,gs,25,42
train,33,0.8922001123428345,0.1662025898694992,2.999990701675415,1.940528792044442,0.04802308215924144,0.6651914806542951,1,8,20,100,10,4,2,gru,gs,25,42
test,33,0.880000114440918,0.16641488671302795,3.0,1.91372046712656,0.043301901306159796,0.5804784871882248,1,8,20,100,10,4,2,gru,gs,25,42
train,34,0.8876000046730042,0.17458654940128326,2.999990701675415,1.9389215290015116,0.039161633279434435,0.5345407955911389,1,8,20,100,10,4,2,gru,gs,25,42
test,34,0.8950000405311584,0.16827580332756042,3.0,1.91372046712656,0.046251978816133923,0.608554647635499,1,8,20,100,10,4,2,gru,gs,25,42
train,35,0.8841999769210815,0.1694139987230301,2.999992609024048,1.9436581280454628,0.04196666249813948,0.5796275925792316,1,8,20,100,10,4,2,gru,gs,25,42
test,35,0.8989999294281006,0.15415015816688538,3.0,1.91372046712656,0.033548361029888986,0.4495698218588892,1,8,20,100,10,4,2,gru,gs,25,42
train,36,0.8877999186515808,0.17234544456005096,2.9999897480010986,1.9449901292002794,0.04668851237013406,0.6308166352593342,1,8,20,100,10,4,2,gru,gs,25,42
test,36,0.8720000386238098,0.1804681122303009,3.0,1.91372046712656,0.03670404524757024,0.5150688467384699,1,8,20,100,10,4,2,gru,gs,25,42
train,37,0.8883997797966003,0.17913192510604858,2.9999828338623047,1.9304382155211521,0.05172692595177358,0.6882631197425859,1,8,20,100,10,4,2,gru,gs,25,42
test,37,0.8920000791549683,0.16533492505550385,3.0,1.91372046712656,0.040277124960725365,0.5471240698010776,1,8,20,100,10,4,2,gru,gs,25,42
train,38,0.89059978723526,0.16948285698890686,2.9999897480010986,1.9441327526789418,0.039634630643009976,0.5490910831785643,1,8,20,100,10,4,2,gru,gs,25,42
test,38,0.8810000419616699,0.18056738376617432,3.0,1.91372046712656,0.03918007780885434,0.5325342363586112,1,8,20,100,10,4,2,gru,gs,25,42
train,39,0.8787999153137207,0.1817365288734436,2.9999895095825195,1.9417399225616239,0.04406953799268246,0.6096558274703476,1,8,20,100,10,4,2,gru,gs,25,42
test,39,0.8710001111030579,0.19275788962841034,3.0,1.91372046712656,0.0538206325415644,0.7287628211437858,1,8,20,100,10,4,2,gru,gs,25,42
train,40,0.8913959860801697,0.16699349880218506,2.9999454021453857,1.9392445312795743,0.040708327950259866,0.5602669781715849,1,8,20,100,10,4,2,gru,gs,25,42
test,40,0.8840000629425049,0.1827508509159088,3.0,1.91372046712656,0.042799264711187654,0.5897967582435218,1,8,20,100,10,4,2,gru,gs,25,42
train,41,0.889198899269104,0.168609619140625,2.999953269958496,1.9410728051704083,0.043209493438522026,0.5925410425850512,1,8,20,100,10,4,2,gru,gs,25,42
test,41,0.9070000052452087,0.1589517593383789,3.0,1.91372046712656,0.03719663830564892,0.5123660699803323,1,8,20,100,10,4,2,gru,gs,25,42
train,42,0.901199996471405,0.15687260031700134,2.999976634979248,1.9405247587100756,0.03751827508530202,0.516019259831388,1,8,20,100,10,4,2,gru,gs,25,42
test,42,0.8799999952316284,0.1768805831670761,3.0,1.91372046712656,0.04276069945105461,0.5835182103464635,1,8,20,100,10,4,2,gru,gs,25,42
train,43,0.8965998291969299,0.1643310785293579,2.999983310699463,1.941692932672102,0.044281553863822216,0.6031316092191558,1,8,20,100,10,4,2,gru,gs,25,42
test,43,0.9039999842643738,0.157869353890419,3.0,1.91372046712656,0.04070342415489266,0.5646336916483954,1,8,20,100,10,4,2,gru,gs,25,42
train,44,0.8819997310638428,0.17276307940483093,2.999960422515869,1.9411066170938873,0.044270445162622594,0.6070543898409568,1,8,20,100,10,4,2,gru,gs,25,42
test,44,0.8680001497268677,0.18861813843250275,3.0,1.91372046712656,0.04207382209890819,0.582625650205965,1,8,20,100,10,4,2,gru,gs,25,42
train,45,0.8816007971763611,0.17339472472667694,2.999964714050293,1.937937802154502,0.04050352756687726,0.557682476992475,1,8,20,100,10,4,2,gru,gs,25,42
test,45,0.8820001482963562,0.17642581462860107,3.0,1.91372046712656,0.060515573979589565,0.8317574731919649,1,8,20,100,10,4,2,gru,gs,25,42
train,46,0.8876000046730042,0.1645515114068985,2.9999959468841553,1.9410263076132226,0.036782933721789195,0.5089898979713419,1,8,20,100,10,4,2,gru,gs,25,42
test,46,0.890999972820282,0.16663022339344025,3.0,1.91372046712656,0.057874127422867544,0.7520497491215004,1,8,20,100,10,4,2,gru,gs,25,42
train,47,0.8840000033378601,0.1702064573764801,2.999995470046997,1.9400885946788464,0.03505397902239651,0.4895472521877985,1,8,20,100,10,4,2,gru,gs,25,42
test,47,0.8880001306533813,0.17076274752616882,3.0,1.91372046712656,0.04882113127453145,0.6582406432534543,1,8,20,100,10,4,2,gru,gs,25,42
train,48,0.8928000926971436,0.16273316740989685,2.999995231628418,1.9426890866403363,0.04016333763342628,0.545954006236878,1,8,20,100,10,4,2,gru,gs,25,42
test,48,0.8810000419616699,0.16879180073738098,3.0,1.91372046712656,0.039004063448672896,0.5343199997447786,1,8,20,100,10,4,2,gru,gs,25,42
train,49,0.8822026252746582,0.17014051973819733,2.999969959259033,1.9417947213087445,0.03836068909725792,0.529567116591385,1,8,20,100,10,4,2,gru,gs,25,42
test,49,0.8830001354217529,0.16708412766456604,3.0,1.91372046712656,0.03246465530635068,0.4515337668491616,1,8,20,100,10,4,2,gru,gs,25,42
train,50,0.8955996036529541,0.1698695719242096,2.9999911785125732,1.9401933318438733,0.03673216652095346,0.4962938353415162,1,8,20,100,10,4,2,gru,gs,25,42
test,50,0.9000000357627869,0.16000467538833618,3.0,1.91372046712656,0.038651215561224,0.5291475992643513,1,8,20,100,10,4,2,gru,gs,25,42
train,51,0.8814001679420471,0.17509792745113373,2.999993324279785,1.9399551464186806,0.04893672068215248,0.6591758167564065,1,8,20,100,10,4,2,gru,gs,25,42
test,51,0.8939999938011169,0.1595248579978943,3.0,1.91372046712656,0.03974550480245787,0.5490512326474242,1,8,20,100,10,4,2,gru,gs,25,42
train,52,0.8866009712219238,0.17124763131141663,2.999987840652466,1.940358549638589,0.04209852055037476,0.5780512758264913,1,8,20,100,10,4,2,gru,gs,25,42
test,52,0.8809999823570251,0.17118646204471588,3.0,1.91372046712656,0.038581755234112516,0.502082838574402,1,8,20,100,10,4,2,gru,gs,25,42
train,53,0.8925999999046326,0.1621207743883133,2.999997138977051,1.943690524742023,0.03637467146774772,0.4974919072958652,1,8,20,100,10,4,2,gru,gs,25,42
test,53,0.890999972820282,0.1759452223777771,3.0,1.91372046712656,0.0409165291345117,0.5484065774060103,1,8,20,100,10,4,2,gru,gs,25,42
train,54,0.8858001232147217,0.16781069338321686,2.999994993209839,1.9399195519718424,0.04004951396771759,0.549920703083279,1,8,20,100,10,4,2,gru,gs,25,42
test,54,0.8759999871253967,0.17536094784736633,3.0,1.91372046712656,0.03314780938397412,0.44921984553537947,1,8,20,100,10,4,2,gru,gs,25,42
train,55,0.8863996863365173,0.16536037623882294,2.9999914169311523,1.9408830507010493,0.0446099614802129,0.5981389084074907,1,8,20,100,10,4,2,gru,gs,25,42
test,55,0.8780000805854797,0.16534163057804108,3.0,1.91372046712656,0.03282733402917509,0.4471824668886181,1,8,20,100,10,4,2,gru,gs,25,42
train,56,0.880000114440918,0.17366932332515717,2.9999935626983643,1.9399010320868355,0.03757094699751926,0.5185061121975749,1,8,20,100,10,4,2,gru,gs,25,42
test,56,0.8800000548362732,0.18039993941783905,3.0,1.91372046712656,0.04086738304986084,0.5570175365159152,1,8,20,100,10,4,2,gru,gs,25,42
train,57,0.8921998739242554,0.1665124148130417,2.999994993209839,1.9403458214872185,0.04231145899194496,0.5648672557284633,1,8,20,100,10,4,2,gru,gs,25,42
test,57,0.878000020980835,0.1847265511751175,3.0,1.91372046712656,0.05242308379377783,0.6881240896339702,1,8,20,100,10,4,2,gru,gs,25,42
train,58,0.8917996883392334,0.16595853865146637,2.999985933303833,1.9406789978045191,0.04136551563214843,0.5685629045191914,1,8,20,100,10,4,2,gru,gs,25,42
test,58,0.8939999938011169,0.16896584630012512,3.0,1.91372046712656,0.039767211821912715,0.5423005595602785,1,8,20,100,10,4,2,gru,gs,25,42
train,59,0.8856000900268555,0.17060694098472595,2.9999799728393555,1.941265880859215,0.03963779713917181,0.5373027216758457,1,8,20,100,10,4,2,gru,gs,25,42
test,59,0.8949999809265137,0.1651279479265213,3.0,1.91372046712656,0.034328324052550555,0.46298742862294456,1,8,20,100,10,4,2,gru,gs,25,42
train,60,0.8913998007774353,0.16371166706085205,2.999978542327881,1.9399152540882645,0.03717035584936614,0.49904643957047984,1,8,20,100,10,4,2,gru,gs,25,42
test,60,0.877000093460083,0.17393170297145844,3.0,1.91372046712656,0.04595808363370559,0.6132529118048381,1,8,20,100,10,4,2,gru,gs,25,42
train,61,0.8812000751495361,0.1739007532596588,2.999987840652466,1.945595346905792,0.037659376516690955,0.5020346167208063,1,8,20,100,10,4,2,gru,gs,25,42
test,61,0.8830000162124634,0.17395123839378357,3.0,1.91372046712656,0.0406168279450136,0.5483097174067957,1,8,20,100,10,4,2,gru,gs,25,42
train,62,0.8819875717163086,0.17491410672664642,2.999861478805542,1.942029570652499,0.04311894848721368,0.5863884226490126,1,8,20,100,10,4,2,gru,gs,25,42
test,62,0.8720000386238098,0.18008437752723694,3.0,1.91372046712656,0.04821960287528872,0.6553973297924414,1,8,20,100,10,4,2,gru,gs,25,42
train,63,0.8902000784873962,0.16591446101665497,2.99999737739563,1.9421316048883377,0.04469559300335833,0.5910616895697829,1,8,20,100,10,4,2,gru,gs,25,42
test,63,0.8800000548362732,0.15817894041538239,3.0,1.91372046712656,0.03963182626099272,0.5355416795166872,1,8,20,100,10,4,2,gru,gs,25,42
train,64,0.8906000256538391,0.16730259358882904,2.9999895095825195,1.9466493898088932,0.039648752746628116,0.5426291872723554,1,8,20,100,10,4,2,gru,gs,25,42
test,64,0.9049999713897705,0.16224941611289978,3.0,1.91372046712656,0.0325275741722348,0.4510086659758039,1,8,20,100,10,4,2,gru,gs,25,42
train,65,0.8798173069953918,0.17832131683826447,2.999837875366211,1.9052892630349758,0.04675879037850803,0.5701468373736231,1,8,20,100,10,4,2,gru,gs,25,42
test,65,0.8970001339912415,0.17612697184085846,3.0,1.91372046712656,0.04073770450673629,0.563591051977441,1,8,20,100,10,4,2,gru,gs,25,42
train,66,0.8869951963424683,0.1741647869348526,2.99965500831604,1.9412626675854847,0.04400466721237759,0.599626042942303,1,8,20,100,10,4,2,gru,gs,25,42
test,66,0.8959999680519104,0.16505023837089539,3.0,1.91372046712656,0.05090489104690483,0.6691838902901337,1,8,20,100,10,4,2,gru,gs,25,42
train,67,0.8823946118354797,0.1718893200159073,2.99922776222229,1.9379902388995487,0.044072624070370235,0.5972994143467478,1,8,20,100,10,4,2,gru,gs,25,42
test,67,0.8899999856948853,0.17638225853443146,3.0,1.91372046712656,0.04340874273284675,0.5717670938520312,1,8,20,100,10,4,2,gru,gs,25,42
train,68,0.8805904388427734,0.18063339591026306,2.9996838569641113,1.9323252859253532,0.04649946895659906,0.6100443355739839,1,8,20,100,10,4,2,gru,gs,25,42
test,68,0.8770000338554382,0.17924463748931885,3.0,1.91372046712656,0.060143844799080755,0.8013823426197624,1,8,20,100,10,4,2,gru,gs,25,42
train,69,0.8851931691169739,0.16536065936088562,2.999889850616455,1.942396933628501,0.040347248322379056,0.561909739178286,1,8,20,100,10,4,2,gru,gs,25,42
test,69,0.875999927520752,0.1878635138273239,3.0,1.91372046712656,0.04288652357168783,0.5758845130571555,1,8,20,100,10,4,2,gru,gs,25,42
train,70,0.8945972919464111,0.16593022644519806,2.999940872192383,1.940883915912811,0.03855544594436577,0.52756135777337,1,8,20,100,10,4,2,gru,gs,25,42
test,70,0.8759999871253967,0.18700170516967773,3.0,1.91372046712656,0.04119763836677304,0.5612027143698992,1,8,20,100,10,4,2,gru,gs,25,42
train,71,0.8933991193771362,0.16754865646362305,2.9999582767486572,1.943557044528672,0.04605090420861472,0.6206704252237952,1,8,20,100,10,4,2,gru,gs,25,42
test,71,0.8790001273155212,0.18612883985042572,3.0,1.91372046712656,0.04972906369880004,0.6528478264221478,1,8,20,100,10,4,2,gru,gs,25,42
train,72,0.8912041187286377,0.16495852172374725,2.9998769760131836,1.9428872632648864,0.04162853957107128,0.5620124888862985,1,8,20,100,10,4,2,gru,gs,25,42
test,72,0.8850001096725464,0.17314228415489197,3.0,1.91372046712656,0.03647679450155978,0.4916074529123591,1,8,20,100,10,4,2,gru,gs,25,42
train,73,0.8820011615753174,0.16870714724063873,2.999955415725708,1.9470624957324645,0.03635740332983239,0.4908625724946647,1,8,20,100,10,4,2,gru,gs,25,42
test,73,0.902999997138977,0.16146180033683777,3.0,1.91372046712656,0.039446174690568235,0.5480418589298484,1,8,20,100,10,4,2,gru,gs,25,42
train,74,0.8912003636360168,0.1629093736410141,2.999955415725708,1.940131483552922,0.04530268503858596,0.6054147146546799,1,8,20,100,10,4,2,gru,gs,25,42
test,74,0.8820000290870667,0.1773097664117813,3.0,1.91372046712656,0.04448189593465044,0.6210971382812721,1,8,20,100,10,4,2,gru,gs,25,42
train,75,0.8789995312690735,0.17497214674949646,2.999966859817505,1.9466109295502136,0.03848388382660143,0.5277760774724813,1,8,20,100,10,4,2,gru,gs,25,42
test,75,0.8820000290870667,0.17236989736557007,3.0,1.91372046712656,0.0425144220538186,0.5827766898449751,1,8,20,100,10,4,2,gru,gs,25,42
train,76,0.8893994092941284,0.1681504249572754,2.9999656677246094,1.9451107298702375,0.0417119445519062,0.5664520201539792,1,8,20,100,10,4,2,gru,gs,25,42
test,76,0.8820000290870667,0.17683622241020203,3.0,1.91372046712656,0.047091200870778345,0.6333275308309263,1,8,20,100,10,4,2,gru,gs,25,42
train,77,0.8913990259170532,0.16693180799484253,2.9998667240142822,1.9430848867577892,0.041743682104338826,0.5582670340384523,1,8,20,100,10,4,2,gru,gs,25,42
test,77,0.8710000514984131,0.17785575985908508,3.0,1.91372046712656,0.02681414415972311,0.3783704763060496,1,8,20,100,10,4,2,gru,gs,25,42
train,78,0.8802000284194946,0.1781817078590393,2.9999942779541016,1.9448131904223593,0.0459801990530798,0.6018806986231899,1,8,20,100,10,4,2,gru,gs,25,42
test,78,0.9000000357627869,0.15817199647426605,3.0,1.91372046712656,0.04769084168979897,0.6350170672496732,1,8,20,100,10,4,2,gru,gs,25,42
train,79,0.8958001732826233,0.16146190464496613,2.9999895095825195,1.9500721470041245,0.034226090938666444,0.47662264523001724,1,8,20,100,10,4,2,gru,gs,25,42
test,79,0.8870000243186951,0.16786900162696838,3.0,2.02248915267854,0.04142773316537172,0.5464531191463518,1,8,20,100,10,4,2,gru,gs,25,42
train,80,0.887199878692627,0.1724012941122055,2.999979019165039,1.960605693503385,0.039804585788246936,0.5361249627796343,1,8,20,100,10,4,2,gru,gs,25,42
test,80,0.8949999809265137,0.15989209711551666,3.0,2.142020856183598,0.029414806205805537,0.4112851530466298,1,8,20,100,10,4,2,gru,gs,25,42
train,81,0.8941999077796936,0.16636666655540466,2.9999754428863525,2.0078741417264228,0.03217498680298995,0.4392264017222287,1,8,20,100,10,4,2,gru,gs,25,42
test,81,0.8910000324249268,0.17958886921405792,3.0,2.142020856183598,0.02666425881534679,0.36743098670832564,1,8,20,100,10,4,2,gru,gs,25,42
train,82,0.8974003791809082,0.16570501029491425,2.9998672008514404,2.0604088478837252,0.02717432194878278,0.37295861703651084,1,8,20,100,10,4,2,gru,gs,25,42
test,82,0.8940000534057617,0.17299027740955353,3.0,2.142020856183598,0.029563088353838297,0.41036577443779904,1,8,20,100,10,4,2,gru,gs,25,42
train,83,0.8996005058288574,0.15577009320259094,2.999993085861206,2.1123106717182107,0.02928459579217308,0.39998753536001913,1,8,20,100,10,4,2,gru,gs,25,42
test,83,0.8790000677108765,0.195161372423172,3.0,1.91372046712656,0.04098292601684713,0.5337401929842673,1,8,20,100,10,4,2,gru,gs,25,42
train,84,0.9031962752342224,0.1564696729183197,2.9999685287475586,2.1381162240222262,0.032575943781200496,0.4390800857179497,1,8,20,100,10,4,2,gru,gs,25,42
test,84,0.8890000581741333,0.1613980531692505,3.0,2.142020856183598,0.03568245298845014,0.47066505876389086,1,8,20,100,10,4,2,gru,gs,25,42
train,85,0.9063997864723206,0.1500084549188614,2.9999897480010986,2.1603726326622454,0.027717099023889885,0.3724741637099162,1,8,20,100,10,4,2,gru,gs,25,42
test,85,0.9060000777244568,0.14158861339092255,3.0,2.142020856183598,0.02279416974993716,0.3012476331159404,1,8,20,100,10,4,2,gru,gs,25,42
train,86,0.9046000242233276,0.1445961445569992,3.0,2.1662370849438624,0.02506452109527852,0.34111552373299925,1,8,20,100,10,4,2,gru,gs,25,42
test,86,0.8970000743865967,0.15660367906093597,3.0,2.142020856183598,0.02717297066648967,0.3690561496986909,1,8,20,100,10,4,2,gru,gs,25,42
train,87,0.8959999084472656,0.178477481007576,2.999981164932251,1.9616010737207397,0.05609485631167941,0.51911518069821,1,8,20,100,10,4,2,gru,gs,25,42
test,87,0.9049999117851257,0.15654641389846802,3.0,2.142020856183598,0.030587427504961785,0.4009626596474051,1,8,20,100,10,4,2,gru,gs,25,42
