epoch,target,message,count
5,ZeD,52,6
5,ZeD,93,5
5,ZeD,87,2
5,ZeD,38,1
5,ZeD,30,4
5,ZeD,4,1
5,ZeD,36,4
5,ZeD,0,2
5,ZeD,55,3
5,ZeD,35,1
5,ZeD,17,1
5,ZeD,68,1
5,ZeD,89,2
5,ZeD,39,1
5,ZeD,25,1
5,S,90,157
5,S,83,3
5,S,52,1
5,S,42,1
5,S,69,1
5,S,91,1
5,S,0,1
5,S,36,1
5,S,49,1
5,Ze,90,8
5,Ze,57,17
5,Ze,12,12
5,Ze,91,17
5,Ze,4,1
5,Ze,52,6
5,Ze,30,7
5,Ze,83,4
5,Ze,98,1
5,Ze,16,6
5,Ze,48,10
5,Ze,44,18
5,Ze,55,2
5,Ze,0,1
5,Ze,42,10
5,Ze,29,1
5,Ze,82,2
5,Ze,95,1
5,Ze,25,2
5,Ze,80,1
5,Ze,74,1
5,Ze,36,2
5,Ze,93,6
5,Ze,99,1
5,Ze,15,1
5,Ze,70,1
5,Ze,81,1
5,Ze,32,1
5,Ze,68,2
5,Ze,23,1
5,Ze,21,1
5,Ze,87,1
5,MBy,93,65
5,MBy,48,77
5,MBy,55,3
5,MBy,95,1
5,MBy,98,2
5,MBy,85,1
5,MBy,44,2
5,MBy,15,1
5,MBy,57,1
5,MBy,12,1
5,MBy,49,1
5,DS,90,130
5,DS,99,1
5,DS,36,2
5,FM,48,86
5,FM,93,73
5,FM,95,3
5,FM,55,1
5,FM,30,1
5,FM,91,2
5,FM,57,1
5,ByS,90,120
5,ByS,83,6
5,ByS,44,3
5,ByS,89,3
5,ByS,12,3
5,ByS,16,6
5,ByS,57,6
5,ByS,91,3
5,ByS,42,3
5,ByS,36,3
5,ByS,0,2
5,ByS,52,1
5,ByS,49,1
5,ByS,82,1
5,FZy,48,80
5,FZy,93,56
5,FZy,55,3
5,FZy,44,1
5,FZy,98,1
5,FZy,91,1
5,F,30,1
5,F,57,21
5,F,44,9
5,F,90,11
5,F,93,5
5,F,68,3
5,F,12,9
5,F,15,1
5,F,0,7
5,F,95,3
5,F,70,1
5,F,16,6
5,F,69,2
5,F,42,11
5,F,89,4
5,F,21,1
5,F,34,1
5,F,81,6
5,F,47,1
5,F,91,19
5,F,49,2
5,F,48,1
5,F,83,3
5,F,36,4
5,F,52,2
5,F,6,1
5,F,32,1
5,F,17,1
5,F,29,2
5,F,9,1
5,F,82,1
5,MF,48,81
5,MF,93,60
5,MF,89,1
5,MF,12,1
5,MF,16,2
5,MF,95,1
5,MF,55,1
5,MF,91,2
5,MF,98,1
5,FBy,93,73
5,FBy,48,88
5,FBy,32,1
5,FBy,95,3
5,FBy,55,1
5,FBy,65,1
5,MM,48,86
5,MM,93,85
5,MM,12,2
5,MM,95,2
5,MM,89,1
5,MM,91,1
5,MM,44,2
5,MM,60,2
5,MM,98,2
5,MM,18,1
5,MM,52,1
5,ZyS,90,126
5,ZyS,57,8
5,ZyS,25,1
5,ZyS,0,1
5,ZyS,83,4
5,ZyS,32,3
5,ZyS,42,2
5,ZyS,49,2
5,ZyS,81,1
5,ZyS,17,2
5,ZyS,12,3
5,ZyS,44,4
5,ZyS,36,2
5,ZyS,30,1
5,ZyS,82,2
5,ZyS,43,1
5,ZyS,72,1
5,ZyS,16,1
5,ZyS,52,1
10,FF,93,75
10,FF,48,85
10,FF,44,1
10,Be,16,5
10,Be,44,51
10,Be,57,16
10,Be,42,16
10,Be,91,29
10,Be,81,4
10,Be,30,2
10,Be,82,3
10,Be,12,17
10,Be,83,4
10,Be,48,1
10,Be,0,6
10,Be,69,3
10,Be,93,3
10,Be,43,1
10,Be,51,1
10,Be,49,1
10,F,0,5
10,F,44,44
10,F,12,11
10,F,69,3
10,F,91,29
10,F,83,5
10,F,42,14
10,F,57,18
10,F,90,3
10,F,68,1
10,F,16,3
10,F,81,1
10,F,98,1
10,F,82,1
10,F,36,1
10,F,48,1
10,SD,90,143
10,SD,83,3
10,M,91,35
10,M,12,14
10,M,44,35
10,M,83,10
10,M,57,23
10,M,42,14
10,M,0,8
10,M,16,6
10,M,69,2
10,M,82,3
10,M,43,2
10,M,48,1
10,M,25,2
10,M,81,1
10,M,70,1
10,M,93,2
