epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,3.023232936859131,0.06939999759197235,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
1,test,2.5342142581939697,0.09700000286102295,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
2,train,2.1117453575134277,0.1876000016927719,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
2,test,2.028965473175049,0.14499999582767487,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
3,train,1.7122550010681152,0.2524000108242035,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
3,test,1.707318902015686,0.22699999809265137,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
4,train,1.5701507329940796,0.2741999924182892,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
4,test,1.6377750635147095,0.24899999797344208,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
5,train,1.4566824436187744,0.30979999899864197,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
5,test,1.7366187572479248,0.2449999749660492,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
6,train,1.4085383415222168,0.3148000240325928,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
6,test,1.6438579559326172,0.24899999797344208,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
7,train,1.3301109075546265,0.33260002732276917,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
7,test,1.511315107345581,0.2750000059604645,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
8,train,1.2876973152160645,0.3383999764919281,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
8,test,1.5114812850952148,0.29399996995925903,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
9,train,1.2266960144042969,0.36660000681877136,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
9,test,1.2353014945983887,0.32499998807907104,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
10,train,1.1396998167037964,0.3807999789714813,0.34375,21.067982953437337,40.41340193761623,50,100,200,100,200,1,1,gru,gs,50,42,25
10,test,1.215582013130188,0.3149999976158142,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
11,train,1.108108401298523,0.39180004596710205,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
11,test,1.2442796230316162,0.34299999475479126,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
12,train,1.1052943468093872,0.39180001616477966,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
12,test,1.2791814804077148,0.3320000171661377,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
13,train,1.0864869356155396,0.3914000391960144,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
13,test,1.1689308881759644,0.3580000102519989,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
14,train,1.0625965595245361,0.3988000154495239,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
14,test,1.127610445022583,0.3610000014305115,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
15,train,1.0421150922775269,0.4087999761104584,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
15,test,1.1640641689300537,0.37599998712539673,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
16,train,1.0341991186141968,0.4217999577522278,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
16,test,1.011844515800476,0.37700000405311584,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
17,train,0.9926528930664062,0.4184000492095947,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
17,test,0.999566376209259,0.3790000081062317,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
18,train,0.9695050120353699,0.4357999861240387,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
18,test,0.9980088472366333,0.4269999861717224,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
19,train,0.9512436389923096,0.4429999589920044,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
19,test,0.9696931838989258,0.4190000593662262,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
20,train,0.9353018403053284,0.46080002188682556,0.421875,19.35559295320653,41.90420951575719,50,100,200,100,200,1,1,gru,gs,50,42,25
20,test,0.9634820222854614,0.4240000247955322,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
21,train,0.9296918511390686,0.45399996638298035,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
21,test,0.9908615350723267,0.3919999897480011,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
22,train,0.9215401411056519,0.4708000123500824,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
22,test,0.9992195963859558,0.4269999861717224,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
23,train,0.9030597805976868,0.484000027179718,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
23,test,1.1051907539367676,0.4130000174045563,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
24,train,0.8878095149993896,0.4872000217437744,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
24,test,1.014639139175415,0.4140000343322754,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
25,train,0.8748648166656494,0.503000020980835,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
25,test,1.0969088077545166,0.4050000309944153,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
26,train,0.8528001308441162,0.5164000391960144,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
26,test,1.0310157537460327,0.39600005745887756,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
27,train,0.8442667126655579,0.5191999673843384,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
27,test,1.0173109769821167,0.4130000174045563,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
28,train,0.815793514251709,0.5290000438690186,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
28,test,0.9878395795822144,0.42600002884864807,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
29,train,0.8082011938095093,0.543999969959259,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
29,test,1.0297600030899048,0.4309999942779541,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
30,train,0.7984533905982971,0.5555999875068665,0.4375,19.647395140593343,43.65943420912794,50,100,200,100,200,1,1,gru,gs,50,42,25
30,test,1.0868738889694214,0.43400001525878906,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
31,train,0.8011555671691895,0.5559999942779541,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
31,test,1.029099702835083,0.43299999833106995,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
32,train,0.7834712266921997,0.5716000199317932,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
32,test,1.0513379573822021,0.453000009059906,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
33,train,0.7539504170417786,0.5839999914169312,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
33,test,1.0673093795776367,0.4690000116825104,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
34,train,0.7330003976821899,0.6047999858856201,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
34,test,1.049137830734253,0.49400001764297485,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
35,train,0.7203001379966736,0.6112000346183777,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
35,test,1.0457844734191895,0.4729999899864197,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
36,train,0.6950240135192871,0.625,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
36,test,1.0290158987045288,0.4490000307559967,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
37,train,0.6794012188911438,0.6326000094413757,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
37,test,1.1304707527160645,0.4560000002384186,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
38,train,0.6628385782241821,0.6526000499725342,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
38,test,1.1117265224456787,0.4649999737739563,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
39,train,0.680604100227356,0.6356000304222107,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
39,test,1.1192522048950195,0.4399999976158142,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
40,train,0.647898256778717,0.6523999571800232,0.46875,18.996799010526576,44.924165063719684,50,100,200,100,200,1,1,gru,gs,50,42,25
40,test,1.049769639968872,0.4729999601840973,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
41,train,0.6413858532905579,0.6573999524116516,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
41,test,1.2264692783355713,0.4690000116825104,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
42,train,0.6456981897354126,0.6499999761581421,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
42,test,1.0613296031951904,0.45500001311302185,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
43,train,0.6174859404563904,0.6702000498771667,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
43,test,1.1298273801803589,0.46400004625320435,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
44,train,0.6214849352836609,0.662600040435791,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
44,test,1.0720505714416504,0.4570000171661377,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
45,train,0.6155725717544556,0.6646000146865845,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
45,test,1.0812371969223022,0.4700000286102295,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
46,train,0.6023930907249451,0.6866000294685364,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
46,test,1.2063316106796265,0.46399998664855957,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
47,train,0.5964556932449341,0.6887999773025513,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
47,test,1.0371379852294922,0.4949999749660492,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
48,train,0.5959445834159851,0.6835999488830566,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
48,test,1.1213937997817993,0.4959999918937683,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
49,train,0.5673471093177795,0.6898000240325928,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
49,test,1.1610764265060425,0.4830000400543213,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
50,train,0.5588833093643188,0.7003999948501587,0.5,17.840143582351104,45.692993981058905,50,100,200,100,200,1,1,gru,gs,50,42,25
50,test,1.0723230838775635,0.47600001096725464,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
51,train,0.5529215335845947,0.7038000226020813,,,,50,100,200,100,200,1,1,gru,gs,50,42,25
