Epoch,Ego Node,Target Node Idx,Target Node,Message,Receiver Output,Predicted Label,Correct,Complexity,Information Loss
10,Bob,7,FM,[37],"[[0.25603604316711426, 0.1961849182844162, 0.00010657843813532963, 7.406847998936428e-06, 0.017172688618302345, 3.900822048308328e-05, 3.1499330361839384e-05, 0.3027494549751282, 0.2168523669242859, 0.00016124725516419858, 1.0484191989235114e-05, 0.010523144155740738, 6.389850750565529e-05, 6.0670125094475225e-05, 4.758524685399834e-09, 1.0952745377323936e-08, 0.0, 2.105174559119405e-07, 1.973214409645152e-07, 3.397583950293104e-11, 6.979008950608323e-12, 1.9949130238353097e-13, 2.17520940766925e-14, 5.548159588003587e-12, 1.403180436426732e-11, 2.272997567942525e-09, 4.726518620934428e-10, 1.8706565810266973e-11, 1.025388649857073e-12, 4.806812586855003e-11, 5.123991075189904e-12, 3.7120545352820056e-13, 2.1966478115642563e-14]]",FM,True,,
10,Bob,18,Be,[60],"[[4.427888882219122e-07, 4.281906740288832e-07, 6.498617466377254e-08, 1.089571632917341e-08, 0.2667432427406311, 3.0052436983396547e-08, 9.935381228842743e-08, 1.3315674323166604e-06, 2.0505597149167443e-06, 8.0771613397701e-08, 9.703206238498296e-09, 0.255079060792923, 3.755978283948025e-08, 1.1256393861458491e-07, 0.0037980773486196995, 0.16312220692634583, 0.0, 0.053108178079128265, 0.25222247838974, 5.135158335834816e-18, 6.642980793114346e-18, 8.391790989486809e-16, 5.082660904668832e-16, 1.4415481928153895e-06, 0.00030375184724107385, 8.203832578546066e-14, 3.4256045266037316e-14, 1.314386967321557e-12, 1.0491285574662501e-12, 4.5532437930142706e-20, 3.6001814777497307e-20, 1.5601004787880345e-18, 6.008875199071888e-19]]",M,False,,
10,Bob,14,Zy,[56],"[[1.911313121660818e-12, 2.4252403470897965e-12, 4.321965025155805e-05, 0.00019314585370011628, 1.6830766469411174e-07, 8.436501957476139e-05, 0.0001245883177034557, 2.37495027984036e-12, 6.11816196663395e-12, 4.239332702127285e-05, 0.00011373262532288209, 9.749831519911822e-08, 6.675706390524283e-05, 6.105290958657861e-05, 0.44586503505706787, 0.17074556648731232, 0.0, 0.259513795375824, 0.09623701870441437, 1.0844396491904718e-09, 1.044709208031236e-09, 0.0001641519775148481, 3.88377666240558e-05, 0.0008119345875456929, 0.0005051797488704324, 2.893939017667435e-05, 1.2572790183185134e-05, 0.010693968273699284, 0.01396089792251587, 3.5047892322712104e-13, 1.5618431027653035e-13, 2.5027368621977075e-08, 6.128308971398155e-09]]",Zy,True,,
10,Bob,6,MBe,[85],"[[5.297478082866292e-07, 3.938133090741758e-07, 0.11093053221702576, 0.09970669448375702, 5.619723378913477e-05, 0.12726493179798126, 0.12905816733837128, 4.80082974263496e-07, 5.877434432477457e-07, 0.15626907348632812, 0.0920264944434166, 2.661898179212585e-05, 0.15622667968273163, 0.12703871726989746, 2.038571074081119e-05, 3.6821757021243684e-06, 0.0, 0.0005733249709010124, 6.437890988308936e-05, 1.3816760180418441e-08, 2.3182351593931116e-09, 2.5283449645030487e-07, 8.043733679130582e-09, 1.8497772757974928e-10, 2.1052947579702774e-11, 0.0005486425943672657, 7.697119872318581e-05, 9.349503670819104e-05, 5.776689249614719e-06, 4.923778745835605e-11, 1.82119120131774e-12, 1.3422598588164192e-09, 2.445377580984065e-11]]",FZy,False,,
10,Bob,28,BeS,[86],"[[4.298657633750909e-20, 4.594665508422717e-20, 2.1582253761920356e-09, 1.5121528917916294e-07, 3.91322976417862e-18, 1.4015697047398135e-08, 9.006372536646268e-09, 2.0029162328664347e-20, 3.5860635080214965e-20, 1.6901248178768924e-09, 7.927237533067455e-08, 3.590132603325101e-18, 7.993263828609543e-09, 3.1346463202908126e-09, 2.237951157724183e-08, 3.4354721845097913e-10, 0.0, 1.3016876465599125e-09, 7.795339374006005e-11, 4.118219294468872e-05, 4.5965985918883234e-05, 0.5315111875534058, 0.22402514517307281, 2.3438131435682408e-09, 1.6143333197993215e-11, 0.0016548836138099432, 0.0016396266873925924, 0.07749074697494507, 0.1591281294822693, 7.679195590526433e-08, 4.209947235267464e-08, 0.002845590468496084, 0.0016171433962881565]]",ByD,False,,
10,Bob,1,MF,[37],"[[0.25603604316711426, 0.1961849182844162, 0.00010657843813532963, 7.406847998936428e-06, 0.017172688618302345, 3.900822048308328e-05, 3.1499330361839384e-05, 0.3027494549751282, 0.2168523669242859, 0.00016124725516419858, 1.0484191989235114e-05, 0.010523144155740738, 6.389850750565529e-05, 6.0670125094475225e-05, 4.758524685399834e-09, 1.0952745377323936e-08, 0.0, 2.105174559119405e-07, 1.973214409645152e-07, 3.397583950293104e-11, 6.979008950608323e-12, 1.9949130238353097e-13, 2.17520940766925e-14, 5.548159588003587e-12, 1.403180436426732e-11, 2.272997567942525e-09, 4.726518620934428e-10, 1.8706565810266973e-11, 1.025388649857073e-12, 4.806812586855003e-11, 5.123991075189904e-12, 3.7120545352820056e-13, 2.1966478115642563e-14]]",FM,False,,
10,Bob,13,FBe,[85],"[[5.297478082866292e-07, 3.938133090741758e-07, 0.11093053221702576, 0.09970669448375702, 5.619723378913477e-05, 0.12726493179798126, 0.12905816733837128, 4.80082974263496e-07, 5.877434432477457e-07, 0.15626907348632812, 0.0920264944434166, 2.661898179212585e-05, 0.15622667968273163, 0.12703871726989746, 2.038571074081119e-05, 3.6821757021243684e-06, 0.0, 0.0005733249709010124, 6.437890988308936e-05, 1.3816760180418441e-08, 2.3182351593931116e-09, 2.5283449645030487e-07, 8.043733679130582e-09, 1.8497772757974928e-10, 2.1052947579702774e-11, 0.0005486425943672657, 7.697119872318581e-05, 9.349503670819104e-05, 5.776689249614719e-06, 4.923778745835605e-11, 1.82119120131774e-12, 1.3422598588164192e-09, 2.445377580984065e-11]]",FZy,False,,
10,Bob,27,BeD,[56],"[[1.911313121660818e-12, 2.4252403470897965e-12, 4.321965025155805e-05, 0.00019314585370011628, 1.6830766469411174e-07, 8.436501957476139e-05, 0.0001245883177034557, 2.37495027984036e-12, 6.11816196663395e-12, 4.239332702127285e-05, 0.00011373262532288209, 9.749831519911822e-08, 6.675706390524283e-05, 6.105290958657861e-05, 0.44586503505706787, 0.17074556648731232, 0.0, 0.259513795375824, 0.09623701870441437, 1.0844396491904718e-09, 1.044709208031236e-09, 0.0001641519775148481, 3.88377666240558e-05, 0.0008119345875456929, 0.0005051797488704324, 2.893939017667435e-05, 1.2572790183185134e-05, 0.010693968273699284, 0.01396089792251587, 3.5047892322712104e-13, 1.5618431027653035e-13, 2.5027368621977075e-08, 6.128308971398155e-09]]",Zy,False,,
10,Bob,29,DD,[7],"[[1.1019333382152041e-20, 8.328497078058569e-21, 8.642175516881956e-15, 8.261764211127398e-13, 5.754272035753942e-23, 4.8606006508101e-14, 2.0741112820299445e-14, 3.118537754242579e-21, 1.8940303452447595e-21, 5.979732429161298e-15, 5.563320529082538e-13, 1.0914692106412403e-22, 2.6410048532322407e-14, 1.0624381691255735e-14, 1.461253859697632e-16, 1.2469179047565762e-18, 0.0, 4.413951140278407e-18, 1.4155212242844649e-19, 0.03267459571361542, 0.0628931000828743, 0.0004613198689185083, 0.001469576614908874, 2.9380648559001283e-15, 8.479890853243504e-18, 1.0933788871625438e-05, 4.2732506699394435e-05, 1.5735574265818286e-07, 4.877455239693518e-07, 0.2102593630552292, 0.41278907656669617, 0.043318524956703186, 0.236080139875412]]",DS,False,,
10,Bob,0,MM,[37],"[[0.25603604316711426, 0.1961849182844162, 0.00010657843813532963, 7.406847998936428e-06, 0.017172688618302345, 3.900822048308328e-05, 3.1499330361839384e-05, 0.3027494549751282, 0.2168523669242859, 0.00016124725516419858, 1.0484191989235114e-05, 0.010523144155740738, 6.389850750565529e-05, 6.0670125094475225e-05, 4.758524685399834e-09, 1.0952745377323936e-08, 0.0, 2.105174559119405e-07, 1.973214409645152e-07, 3.397583950293104e-11, 6.979008950608323e-12, 1.9949130238353097e-13, 2.17520940766925e-14, 5.548159588003587e-12, 1.403180436426732e-11, 2.272997567942525e-09, 4.726518620934428e-10, 1.8706565810266973e-11, 1.025388649857073e-12, 4.806812586855003e-11, 5.123991075189904e-12, 3.7120545352820056e-13, 2.1966478115642563e-14]]",FM,False,,
