epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
30,train,0.08561916649341583,0.937999963760376,0.9375,17.974549364989404,57.28955850680899,50,100,200,100,200,1,1,gru,continuous,50,42,100
30,test,0.08824343979358673,0.9339998960494995,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
31,train,0.08560113608837128,0.9403999447822571,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
31,test,0.08822642266750336,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
32,train,0.08558524399995804,0.9383999705314636,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
32,test,0.08821119368076324,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
33,train,0.08557064831256866,0.9384000301361084,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
33,test,0.08819744735956192,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
34,train,0.08555728197097778,0.938200056552887,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
34,test,0.08818519115447998,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
35,train,0.08554539084434509,0.9381999969482422,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
35,test,0.08817346394062042,0.9340000152587891,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
36,train,0.08553440868854523,0.9391999840736389,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
36,test,0.08816298842430115,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
37,train,0.08552446216344833,0.9395999908447266,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
37,test,0.08815377205610275,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
38,train,0.0855153277516365,0.9386000037193298,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
38,test,0.08814506232738495,0.934999942779541,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
39,train,0.08550705015659332,0.9380000233650208,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
39,test,0.08813676983118057,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
40,train,0.08549921959638596,0.9395999908447266,0.9375,17.974549364989404,58.83368900407288,50,100,200,100,200,1,1,gru,continuous,50,42,100
