Epoch,Ego Node,Target Node,Message,Receiver Output,Predicted Label,Correct,Complexity,Information Loss
10,Bob,SS,[95],"[[6.701551206328427e-13, 3.217134241298436e-12, 1.069958635580015e-10, 1.3038779257679156e-11, 8.216403946104123e-11, 1.0326792199144563e-10, 1.069958635580015e-10, 3.354761607399226e-11, 3.086568847732174e-11, 3.7737016101238325e-15, 8.932508765047576e-15, 1.5923958818220285e-09, 4.7389663807712035e-14, 3.7737016101238325e-15, 6.003418775435421e-07, 1.5431764666118397e-07, 0.0, 6.683872584289929e-07, 5.936615252721822e-06, 0.007049862295389175, 0.005009839311242104, 9.344128920929506e-05, 7.664610893698409e-05, 0.0013904300285503268, 0.0021589421667158604, 3.0945664867415568e-12, 2.197391791095016e-12, 4.464574890339357e-11, 2.3508802543537044e-11, 0.21619829535484314, 0.23429930210113525, 0.22149020433425903, 0.3122255802154541]]",SS,True,22.737704462188653,31.04173488509272
10,Bob,FM,[17],"[[0.21387487649917603, 0.1500190943479538, 1.1002866395770639e-09, 5.862075824758506e-10, 8.238689042627811e-05, 1.1802911981106945e-09, 1.1002866395770639e-09, 0.3243844509124756, 0.3114604353904724, 1.714476915992691e-08, 1.2652180636507637e-08, 0.00017137905524577945, 2.2886204931182874e-08, 1.714476915992691e-08, 2.651004304965454e-09, 1.8114520994316763e-09, 0.0, 3.527881542453315e-09, 4.8893911142045e-09, 2.9056906214464107e-08, 3.370377399392055e-08, 6.075844538599995e-08, 4.5331674414228473e-08, 1.7489531956016435e-07, 1.9498352799018903e-07, 1.4105081547199916e-08, 1.0464008326493968e-08, 8.156811226456284e-09, 4.654681529103755e-09, 8.227503656144108e-08, 1.0449693377267977e-07, 5.29096197965373e-08, 6.703857025058824e-08]]",FM,True,22.737704462188653,31.04173488509272
10,Bob,FF,[17],"[[0.21387487649917603, 0.1500190943479538, 1.1002866395770639e-09, 5.862075824758506e-10, 8.238689042627811e-05, 1.1802911981106945e-09, 1.1002866395770639e-09, 0.3243844509124756, 0.3114604353904724, 1.714476915992691e-08, 1.2652180636507637e-08, 0.00017137905524577945, 2.2886204931182874e-08, 1.714476915992691e-08, 2.651004304965454e-09, 1.8114520994316763e-09, 0.0, 3.527881542453315e-09, 4.8893911142045e-09, 2.9056906214464107e-08, 3.370377399392055e-08, 6.075844538599995e-08, 4.5331674414228473e-08, 1.7489531956016435e-07, 1.9498352799018903e-07, 1.4105081547199916e-08, 1.0464008326493968e-08, 8.156811226456284e-09, 4.654681529103755e-09, 8.227503656144108e-08, 1.0449693377267977e-07, 5.29096197965373e-08, 6.703857025058824e-08]]",FM,False,22.737704462188653,31.04173488509272
10,Bob,F,[43],"[[0.00032559424289502203, 0.0012524090707302094, 5.229936483885922e-09, 4.219407045980006e-09, 0.21915031969547272, 1.2929559645158406e-08, 5.229946253848539e-09, 3.858419859170681e-06, 4.897117378277471e-06, 4.3151832107568566e-10, 1.0382313897494555e-09, 0.7789949774742126, 1.005444172363923e-09, 4.3151832107568566e-10, 8.098537840339759e-09, 9.001615453030354e-09, 0.0, 1.612080247070935e-08, 2.009445054795833e-08, 1.5003788433887166e-08, 8.462173184398125e-09, 2.3011699212815984e-08, 2.564468459809177e-08, 7.518866186728701e-05, 5.969131234451197e-05, 7.909777000048024e-12, 8.878625265551499e-12, 2.3214895283896197e-11, 1.3356032425859699e-11, 6.924246918060817e-07, 4.3992292830807855e-07, 9.823414615084403e-08, 6.987774270328373e-08]]",F,True,22.737704462188653,31.04173488509272
10,Bob,ByS,[93],"[[8.854440914672699e-16, 1.6473130639519523e-15, 8.922045502575415e-13, 9.91022259914931e-13, 3.8293344190032386e-12, 1.5176245676817857e-12, 8.922045502575415e-13, 1.355973540644994e-15, 1.7670324889586383e-15, 3.4510778566462785e-13, 3.2521199817316104e-13, 1.579321222411334e-11, 3.71239443266308e-13, 3.4510778566462785e-13, 8.20636475440395e-11, 7.768207604952337e-11, 0.0, 4.331318290140551e-11, 1.0480856460493015e-10, 0.31914541125297546, 0.23195062577724457, 0.19449558854103088, 0.24583497643470764, 5.126134965394158e-07, 9.522292998553894e-07, 6.897607090650126e-05, 5.2054056141059846e-05, 0.0004517862107604742, 0.0002678569289855659, 0.001500240177847445, 0.0034085428342223167, 0.0015234733000397682, 0.0012989119859412313]]",ZyD,False,22.737704462188653,31.04173488509272
10,Bob,D,[18],"[[3.5673812703862495e-07, 1.4512245343212271e-06, 2.8811766696890118e-06, 1.482091647631023e-06, 0.00011988273763563484, 5.256300482869847e-06, 2.881179398173117e-06, 8.485358762300166e-07, 8.677045002514205e-07, 2.6295687849398064e-11, 7.778393207313883e-11, 0.0007395103457383811, 1.0202997474673126e-10, 2.6295687849398064e-11, 0.0002222707262262702, 0.00012756620708387345, 0.0, 0.00024368167214561254, 0.0005742573994211853, 1.955241941686836e-06, 1.2946884453413077e-06, 2.110113115350032e-07, 1.907019253621911e-07, 0.5096431374549866, 0.4871445894241333, 6.617767857146351e-13, 5.923423101843184e-13, 1.588272048602679e-11, 8.249658768610946e-12, 0.0003601241041906178, 0.00014823079982306808, 0.0002421309909550473, 0.00023557161330245435]]",D,True,22.737704462188653,31.04173488509272
10,Bob,MZe,[78],"[[4.473445919250807e-12, 3.967224118661683e-12, 0.26354125142097473, 0.24804416298866272, 2.823422384778951e-09, 0.22262521088123322, 0.2635415196418762, 7.591206309387477e-12, 9.557660218817432e-12, 9.7466487204656e-05, 0.00014067428128328174, 1.6679732040003614e-09, 8.835679909680039e-05, 9.7466487204656e-05, 0.00039473833749070764, 0.0006698447978124022, 0.0, 0.0003201589861419052, 0.00036792465834878385, 2.3888935274385403e-08, 2.8248457795143622e-08, 6.12020514267897e-08, 5.155450111260507e-08, 4.9628422857495025e-05, 2.0049286831635982e-05, 2.632855000683776e-08, 2.0381831333793343e-08, 5.293879468126761e-08, 7.537952484426569e-08, 4.4276060862102895e-07, 1.7398400586898788e-07, 1.3054656733402226e-07, 1.4127273573194543e-07]]",MBe,False,22.737704462188653,31.04173488509272
10,Bob,FBe,[99],"[[1.0988490828367503e-07, 3.8378679789730086e-08, 0.00019478867761790752, 8.910415635909885e-05, 7.126262516976567e-06, 0.00011780383647419512, 0.00019478867761790752, 2.8938256235733206e-09, 5.1967146141862486e-09, 0.24972069263458252, 0.2807449698448181, 1.4329965551951318e-06, 0.21920686960220337, 0.24972069263458252, 9.618104229724977e-11, 2.27327393020893e-10, 0.0, 1.222740103612452e-10, 1.3105257157253192e-10, 3.4037245678214534e-12, 6.753896487216027e-12, 6.28146534786822e-10, 5.282889681268443e-10, 2.908568497161923e-08, 4.9035588922663464e-09, 5.0297148668221325e-09, 4.968367939284235e-09, 7.965271775489668e-10, 1.314827802190166e-09, 3.9970624032825697e-10, 2.565170298396424e-10, 3.931473636226146e-12, 6.730851553199413e-12]]",FBy,False,22.737704462188653,31.04173488509272
10,Bob,MBe,[78],"[[4.473445919250807e-12, 3.967224118661683e-12, 0.26354125142097473, 0.24804416298866272, 2.823422384778951e-09, 0.22262521088123322, 0.2635415196418762, 7.591206309387477e-12, 9.557660218817432e-12, 9.7466487204656e-05, 0.00014067428128328174, 1.6679732040003614e-09, 8.835679909680039e-05, 9.7466487204656e-05, 0.00039473833749070764, 0.0006698447978124022, 0.0, 0.0003201589861419052, 0.00036792465834878385, 2.3888935274385403e-08, 2.8248457795143622e-08, 6.12020514267897e-08, 5.155450111260507e-08, 4.9628422857495025e-05, 2.0049286831635982e-05, 2.632855000683776e-08, 2.0381831333793343e-08, 5.293879468126761e-08, 7.537952484426569e-08, 4.4276060862102895e-07, 1.7398400586898788e-07, 1.3054656733402226e-07, 1.4127273573194543e-07]]",MBe,True,22.737704462188653,31.04173488509272
10,Bob,MM,[17],"[[0.21387487649917603, 0.1500190943479538, 1.1002866395770639e-09, 5.862075824758506e-10, 8.238689042627811e-05, 1.1802911981106945e-09, 1.1002866395770639e-09, 0.3243844509124756, 0.3114604353904724, 1.714476915992691e-08, 1.2652180636507637e-08, 0.00017137905524577945, 2.2886204931182874e-08, 1.714476915992691e-08, 2.651004304965454e-09, 1.8114520994316763e-09, 0.0, 3.527881542453315e-09, 4.8893911142045e-09, 2.9056906214464107e-08, 3.370377399392055e-08, 6.075844538599995e-08, 4.5331674414228473e-08, 1.7489531956016435e-07, 1.9498352799018903e-07, 1.4105081547199916e-08, 1.0464008326493968e-08, 8.156811226456284e-09, 4.654681529103755e-09, 8.227503656144108e-08, 1.0449693377267977e-07, 5.29096197965373e-08, 6.703857025058824e-08]]",FM,False,22.737704462188653,31.04173488509272
