epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
1,train,2.893636703491211,0.0828000009059906,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
1,test,2.5039846897125244,0.10000000149011612,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
2,train,2.128818988800049,0.18199998140335083,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
2,test,1.9755500555038452,0.20500001311302185,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
3,train,1.7773267030715942,0.24740000069141388,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
3,test,1.8405227661132812,0.2370000183582306,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
4,train,1.6012635231018066,0.2694000005722046,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
4,test,1.799469232559204,0.22600002586841583,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
5,train,1.5523474216461182,0.2784000039100647,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
5,test,1.8753376007080078,0.22600002586841583,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
6,train,1.4798252582550049,0.2833999991416931,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
6,test,1.4956943988800049,0.2809999883174896,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
7,train,1.4362950325012207,0.2954000234603882,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
7,test,1.5118519067764282,0.27699998021125793,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
8,train,1.4121530055999756,0.2962000370025635,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
8,test,1.4588801860809326,0.28099995851516724,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
9,train,1.345156192779541,0.32179999351501465,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
9,test,1.315412998199463,0.3139999806880951,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
10,train,1.3117960691452026,0.31960001587867737,0.3125,22.737704462188653,31.04173488509272,50,100,200,100,200,1,1,gru,gs,50,42,100
10,test,1.2773653268814087,0.34199997782707214,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
11,train,1.2628769874572754,0.3481999933719635,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
11,test,1.1780532598495483,0.375,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
12,train,1.1975581645965576,0.3669999837875366,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
12,test,1.1753206253051758,0.3460000157356262,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
13,train,1.1527968645095825,0.38780003786087036,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
13,test,1.2248594760894775,0.3739999532699585,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
14,train,1.126800775527954,0.40639999508857727,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
14,test,1.1856648921966553,0.38499999046325684,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
15,train,1.1071702241897583,0.4036000072956085,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
15,test,1.1894137859344482,0.3530000150203705,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
16,train,1.1077133417129517,0.40199998021125793,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
16,test,1.1863667964935303,0.3440000116825104,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
17,train,1.0892950296401978,0.41439998149871826,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
17,test,1.2017276287078857,0.3529999852180481,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
18,train,1.0961836576461792,0.412200003862381,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
18,test,1.2425668239593506,0.34199994802474976,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
19,train,1.080923080444336,0.4195999801158905,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
19,test,1.2428531646728516,0.367000013589859,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
20,train,1.0512573719024658,0.4293999969959259,0.375,20.82028156508239,35.40806944306935,50,100,200,100,200,1,1,gru,gs,50,42,100
20,test,1.151599407196045,0.4039999842643738,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
21,train,1.0349961519241333,0.43619999289512634,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
21,test,1.1753696203231812,0.3800000250339508,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
22,train,1.008657455444336,0.44119998812675476,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
22,test,1.1645147800445557,0.3619999885559082,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
23,train,1.0075936317443848,0.4461999833583832,,,,50,100,200,100,200,1,1,gru,gs,50,42,100
